64974346:9:{rd 16 res} read: 29, ts: 5, fin: 9/32, writer id: 12, n: 12
64974494:2:{rd 16 res} read: 29, ts: 5, fin: 7/32, writer id: 12, n: 12
64978476:1:{rd 16 res} read: 29, ts: 5, fin: 12/33, writer id: 12, n: 12
64982229:4:{rd 16 res} read: 29, ts: 5, fin: 13/34, writer id: 12, n: 12
65049201:7:{rd 16 res} read: 29, ts: 5, fin: 14/51, writer id: 12, n: 12
65053209:8:{rd 16 res} read: 29, ts: 5, fin: 14/52, writer id: 12, n: 12
65080239:12:{rd 16 res} read: 29, ts: 5, fin: 14/59, writer id: 12, n: 12
65115842:10:{rd 16 res} read: 29, ts: 5, fin: 9/68, writer id: 12, n: 12
65260316:3:{rd 16 res} read: 29, ts: 5, fin: 8/105, writer id: 12, n: 12
68960592:12:{rd 17 res} written: 30, ts: 6, fin: 8/29, n: 12
68965375:6:{rd 17 res} read: 8, ts: 6, fin: 9/30, writer id: 1, n: 12
68965469:7:{rd 17 res} read: 30, ts: 6, fin: 9/30, writer id: 12, n: 12
68969207:11:{rd 17 res} read: 8, ts: 6, fin: 8/31, writer id: 1, n: 12
68969216:3:{rd 17 res} read: 8, ts: 6, fin: 10/31, writer id: 1, n: 12
68969478:9:{rd 17 res} read: 8, ts: 6, fin: 10/31, writer id: 1, n: 12
69071440:5:{rd 17 res} read: 8, ts: 6, fin: 10/57, writer id: 1, n: 12
69075366:10:{rd 17 res} read: 8, ts: 6, fin: 10/58, writer id: 1, n: 12
69078724:1:{rd 17 res} written: 30, ts: 6, fin: 9/59, n: 12
69083324:4:{rd 17 res} read: 30, ts: 6, fin: 9/60, writer id: 12, n: 12
69176985:8:{rd 17 res} read: 30, ts: 6, fin: 8/84, writer id: 12, n: 12
69177187:2:{rd 17 res} read: 30, ts: 6, fin: 8/84, writer id: 12, n: 12
72952123:9:{rd 18 res} read: 30, ts: 6, fin: 6/27, writer id: 12, n: 12
72956019:3:{rd 18 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
72956480:6:{rd 18 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
73074520:5:{rd 18 res} read: 30, ts: 6, fin: 7/58, writer id: 12, n: 12
73078492:11:{rd 18 res} read: 30, ts: 6, fin: 7/59, writer id: 12, n: 12
73086368:10:{rd 18 res} read: 30, ts: 6, fin: 6/61, writer id: 12, n: 12
73090723:1:{rd 18 res} read: 30, ts: 6, fin: 13/62, writer id: 12, n: 12
73094381:4:{rd 18 res} read: 30, ts: 6, fin: 12/63, writer id: 12, n: 12
73098167:8:{rd 18 res} read: 30, ts: 6, fin: 11/64, writer id: 12, n: 12
73102032:12:{rd 18 res} read: 30, ts: 6, fin: 10/65, writer id: 12, n: 12
73105784:2:{rd 18 res} read: 30, ts: 6, fin: 9/66, writer id: 12, n: 12
73105986:7:{rd 18 res} read: 30, ts: 6, fin: 11/66, writer id: 12, n: 12
76962240:1:{rd 19 res} written: 9, ts: 7, fin: 9/30, n: 12
76967355:4:{rd 19 res} read: 9, ts: 7, fin: 10/31, writer id: 1, n: 12
76967399:10:{rd 19 res} read: 9, ts: 7, fin: 10/31, writer id: 1, n: 12
76975300:6:{rd 19 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 12
76975301:11:{rd 19 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 12
76979141:5:{rd 19 res} read: 9, ts: 7, fin: 11/34, writer id: 1, n: 12
76982415:12:{rd 19 res} written: 31, ts: 7, fin: 12/35, n: 12
76983027:9:{rd 19 res} read: 9, ts: 7, fin: 12/35, writer id: 1, n: 12
76983127:7:{rd 19 res} read: 9, ts: 7, fin: 12/35, writer id: 1, n: 12
76986854:2:{rd 19 res} read: 9, ts: 7, fin: 13/36, writer id: 1, n: 12
76986986:3:{rd 19 res} read: 9, ts: 7, fin: 11/36, writer id: 1, n: 12
77241618:8:{rd 19 res} read: 9, ts: 7, fin: 11/101, writer id: 1, n: 12
80966683:2:{rd 20 res} read: 31, ts: 7, fin: 8/31, writer id: 12, n: 12
80970393:11:{rd 20 res} read: 9, ts: 7, fin: 11/32, writer id: 1, n: 12
80970621:12:{rd 20 res} read: 31, ts: 7, fin: 11/32, writer id: 12, n: 12
80970711:7:{rd 20 res} read: 31, ts: 7, fin: 11/32, writer id: 12, n: 12
80974235:5:{rd 20 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 12
80974256:6:{rd 20 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 12
80974400:4:{rd 20 res} read: 31, ts: 7, fin: 12/33, writer id: 12, n: 12
80974611:8:{rd 20 res} read: 31, ts: 7, fin: 11/33, writer id: 12, n: 12
80978075:9:{rd 20 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 12
80978144:3:{rd 20 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 12
80978474:1:{rd 20 res} read: 31, ts: 7, fin: 13/34, writer id: 12, n: 12
81307440:10:{rd 20 res} read: 31, ts: 7, fin: 12/118, writer id: 12, n: 12
84949158:3:{rd 21 res} read: 10, ts: 8, fin: 6/27, writer id: 1, n: 12
84953007:5:{rd 21 res} read: 10, ts: 8, fin: 7/28, writer id: 1, n: 12
84957253:11:{rd 21 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
84957654:6:{rd 21 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
84973268:7:{rd 21 res} read: 10, ts: 8, fin: 8/33, writer id: 1, n: 12
84976308:12:{rd 21 res} written: 10, ts: 8, fin: 9/34, n: 12
84977206:8:{rd 21 res} read: 10, ts: 8, fin: 9/34, writer id: 1, n: 12
84980965:4:{rd 21 res} read: 10, ts: 8, fin: 9/35, writer id: 1, n: 12
84981248:2:{rd 21 res} read: 10, ts: 8, fin: 8/35, writer id: 1, n: 12
85192986:10:{rd 21 res} read: 10, ts: 8, fin: 8/89, writer id: 1, n: 12
85239317:1:{rd 21 res} written: 10, ts: 8, fin: 9/101, n: 12
85247376:9:{rd 21 res} read: 10, ts: 8, fin: 5/103, writer id: 1, n: 12
88956188:8:{rd 22 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
88956273:12:{rd 22 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
88960502:7:{rd 22 res} read: 10, ts: 8, fin: 9/30, writer id: 1, n: 12
88960634:2:{rd 22 res} read: 10, ts: 8, fin: 9/30, writer id: 1, n: 12
89007955:5:{rd 22 res} read: 10, ts: 8, fin: 7/42, writer id: 1, n: 12
89019575:11:{rd 22 res} read: 10, ts: 8, fin: 8/45, writer id: 1, n: 12
89023405:6:{rd 22 res} read: 10, ts: 8, fin: 9/46, writer id: 1, n: 12
89023502:1:{rd 22 res} read: 10, ts: 8, fin: 8/46, writer id: 1, n: 12
89023566:3:{rd 22 res} read: 10, ts: 8, fin: 9/46, writer id: 1, n: 12
89027411:10:{rd 22 res} read: 10, ts: 8, fin: 8/47, writer id: 1, n: 12
89027537:9:{rd 22 res} read: 10, ts: 8, fin: 10/47, writer id: 1, n: 12
