79723380:3:{rd 27 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
82610688:1:{rd 28 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
82614682:4:{rd 28 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
82614724:6:{rd 28 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
82618698:2:{rd 28 res} diss: 00000003, fin: 8/26, node id: 2, n: 6
82626810:5:{rd 28 res} diss: 00000003, fin: 11/28, node id: 5, n: 6
82630795:3:{rd 28 res} diss: 00000003, fin: 11/29, node id: 3, n: 6
85505955:6:{rd 29 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
85510092:1:{rd 29 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
85513803:2:{rd 29 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
85517812:5:{rd 29 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
85517938:4:{rd 29 res} diss: 00000003, fin: 8/26, node id: 4, n: 6
85521861:3:{rd 29 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
88409395:1:{rd 30 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
88413196:6:{rd 30 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
88417257:2:{rd 30 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
88417309:4:{rd 30 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
88421249:5:{rd 30 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
88421254:3:{rd 30 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
91300851:6:{rd 31 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
91304671:1:{rd 31 res} diss: 00000003, fin: 5/23, node id: 1, n: 6
91304751:4:{rd 31 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
91304776:2:{rd 31 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
91308712:5:{rd 31 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
91312621:3:{rd 31 res} diss: 00000003, fin: 8/25, node id: 3, n: 6
94208029:1:{rd 32 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
94211970:6:{rd 32 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
94215906:2:{rd 32 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
94219692:5:{rd 32 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
94219824:4:{rd 32 res} diss: 00000003, fin: 10/27, node id: 4, n: 6
94223760:3:{rd 32 res} diss: 00000003, fin: 10/28, node id: 3, n: 6
97135493:6:{rd 33 res} diss: 00000003, fin: 14/31, node id: 6, n: 6
97139293:1:{rd 33 res} diss: 00000003, fin: 15/32, node id: 1, n: 6
97139312:2:{rd 33 res} diss: 00000003, fin: 15/32, node id: 2, n: 6
97143157:5:{rd 33 res} diss: 00000003, fin: 16/33, node id: 5, n: 6
97143266:4:{rd 33 res} diss: 00000003, fin: 16/33, node id: 4, n: 6
97147315:3:{rd 33 res} diss: 00000003, fin: 17/34, node id: 3, n: 6
99998793:1:{rd 34 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
100002679:6:{rd 34 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
100002737:4:{rd 34 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
100006412:2:{rd 34 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
100006541:5:{rd 34 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
100010357:3:{rd 34 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
102901913:2:{rd 35 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
102902074:4:{rd 35 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
102905806:5:{rd 35 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
102905919:1:{rd 35 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
102909707:3:{rd 35 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
102909732:6:{rd 35 res} diss: 00000003, fin: 7/25, node id: 6, n: 6
105853101:2:{rd 36 res} diss: 00000003, fin: 14/36, node id: 2, n: 6
105857025:4:{rd 36 res} diss: 00000003, fin: 14/37, node id: 4, n: 6
105864914:1:{rd 36 res} diss: 00000003, fin: 22/39, node id: 1, n: 6
105868598:5:{rd 36 res} diss: 00000003, fin: 23/40, node id: 5, n: 6
105868727:6:{rd 36 res} diss: 00000003, fin: 22/40, node id: 6, n: 6
105872582:3:{rd 36 res} diss: 00000003, fin: 24/41, node id: 3, n: 6
108696416:5:{rd 37 res} diss: 00000003, fin: 5/22, node id: 5, n: 6
108696548:3:{rd 37 res} diss: 00000003, fin: 5/22, node id: 3, n: 6
108700561:4:{rd 37 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
108700618:2:{rd 37 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
108704318:1:{rd 37 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
108708410:6:{rd 37 res} diss: 00000003, fin: 7/25, node id: 6, n: 6
111591832:6:{rd 38 res} diss: 00000003, fin: 4/21, node id: 6, n: 6
111595751:1:{rd 38 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
111603754:4:{rd 38 res} diss: 00000003, fin: 7/24, node id: 4, n: 6
111603791:2:{rd 38 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
111607631:5:{rd 38 res} diss: 00000003, fin: 8/25, node id: 5, n: 6
111607699:3:{rd 38 res} diss: 00000003, fin: 8/25, node id: 3, n: 6
114503027:6:{rd 39 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
