72703700:18:{rd 18 res} read: 7, ts: 5, fin: 15/37, writer id: 1, n: 24
72707577:7:{rd 18 res} read: 7, ts: 5, fin: 9/38, writer id: 1, n: 24
72707632:24:{rd 18 res} read: 7, ts: 5, fin: 17/38, writer id: 1, n: 24
72707635:20:{rd 18 res} read: 7, ts: 5, fin: 17/38, writer id: 1, n: 24
72707696:5:{rd 18 res} read: 7, ts: 5, fin: 17/38, writer id: 1, n: 24
72773812:13:{rd 18 res} read: 7, ts: 5, fin: 9/55, writer id: 1, n: 24
73001439:14:{rd 18 res} read: 7, ts: 5, fin: 15/113, writer id: 1, n: 24
73028682:6:{rd 18 res} read: 7, ts: 5, fin: 12/120, writer id: 1, n: 24
73032607:10:{rd 18 res} read: 7, ts: 5, fin: 16/121, writer id: 1, n: 24
76690914:4:{rd 19 res} read: 8, ts: 6, fin: 13/34, writer id: 1, n: 24
76690945:9:{rd 19 res} read: 8, ts: 6, fin: 11/34, writer id: 1, n: 24
76694751:6:{rd 19 res} read: 8, ts: 6, fin: 12/35, writer id: 1, n: 24
76694776:10:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76694790:8:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76694823:14:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76694889:11:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76694917:2:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76694943:17:{rd 19 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
76698009:24:{rd 19 res} written: 8, ts: 6, fin: 15/36, n: 24
76698683:23:{rd 19 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
76698691:5:{rd 19 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
76698750:22:{rd 19 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
76698820:12:{rd 19 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
76698872:19:{rd 19 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
76701817:1:{rd 19 res} written: 8, ts: 6, fin: 16/37, n: 24
76702696:7:{rd 19 res} read: 8, ts: 6, fin: 16/37, writer id: 1, n: 24
76702708:3:{rd 19 res} read: 8, ts: 6, fin: 16/37, writer id: 1, n: 24
76702812:13:{rd 19 res} read: 8, ts: 6, fin: 16/37, writer id: 1, n: 24
76706700:21:{rd 19 res} read: 8, ts: 6, fin: 17/38, writer id: 1, n: 24
76738291:15:{rd 19 res} read: 8, ts: 6, fin: 17/46, writer id: 1, n: 24
76785297:20:{rd 19 res} read: 8, ts: 6, fin: 17/58, writer id: 1, n: 24
76789064:18:{rd 19 res} read: 8, ts: 6, fin: 18/59, writer id: 1, n: 24
77031651:16:{rd 19 res} read: 8, ts: 6, fin: 14/121, writer id: 1, n: 24
80685965:17:{rd 20 res} read: 8, ts: 6, fin: 12/33, writer id: 1, n: 24
80689919:11:{rd 20 res} read: 8, ts: 6, fin: 13/34, writer id: 1, n: 24
80689936:23:{rd 20 res} read: 8, ts: 6, fin: 13/34, writer id: 1, n: 24
